Race,Total Population,Citizen Population,Registered Population,Voting Population,Total Voted %,Citizen Registered %,Citizen Voted %,Total Registered %
All,2848,1948,1543,1291,45.33,68.4,61.1,54.18
White,2750,1999,1497,1265,46,72.69,63.3,54.44
Black,55,43,23,20,36.36,78.18,44,41.82
Hispanic,49,24,12,6,12.24,48.98,27.1,24.49
