FIPS,Name,total_pop,hisp_pop,hisp_perc
19021960500,"Census Tract 9605, Buena Vista County, Iowa",5010,1674,33.4
19021960600,"Census Tract 9606, Buena Vista County, Iowa",3559,291,8.2
19023070100,"Census Tract 701, Butler County, Iowa",3386,7,0.2
19023070200,"Census Tract 702, Butler County, Iowa",1985,21,1.1
19023070300,"Census Tract 703, Butler County, Iowa",2952,26,0.9
19023070400,"Census Tract 704, Butler County, Iowa",3690,53,1.4
19023070500,"Census Tract 705, Butler County, Iowa",2953,47,1.6
19025950100,"Census Tract 9501, Calhoun County, Iowa",2325,31,1.3
19025950200,"Census Tract 9502, Calhoun County, Iowa",3236,75,2.3
19025950300,"Census Tract 9503, Calhoun County, Iowa",2178,39,1.8
19025950400,"Census Tract 9504, Calhoun County, Iowa",2241,16,0.7
19027960100,"Census Tract 9601, Carroll County, Iowa",3902,46,1.2
19027960200,"Census Tract 9602, Carroll County, Iowa",2311,35,1.5
19027960300,"Census Tract 9603, Carroll County, Iowa",6050,90,1.5
19027960400,"Census Tract 9604, Carroll County, Iowa",4023,162,4.0
19027960500,"Census Tract 9605, Carroll County, Iowa",1963,20,1.0
19027960600,"Census Tract 9606, Carroll County, Iowa",2453,53,2.2
19029190100,"Census Tract 1901, Cass County, Iowa",2381,32,1.3
19029190200,"Census Tract 1902, Cass County, Iowa",2531,17,0.7
19029190300,"Census Tract 1903, Cass County, Iowa",1647,2,0.1
19029190400,"Census Tract 1904, Cass County, Iowa",4079,195,4.8
19029190500,"Census Tract 1905, Cass County, Iowa",3056,64,2.1
19031450100,"Census Tract 4501, Cedar County, Iowa",2808,43,1.5
19031450200,"Census Tract 4502, Cedar County, Iowa",3624,54,1.5
19031450300,"Census Tract 4503, Cedar County, Iowa",3684,12,0.3
19031450400,"Census Tract 4504, Cedar County, Iowa",2853,59,2.1
19031450500,"Census Tract 4505, Cedar County, Iowa",5465,146,2.7
19033950102,"Census Tract 9501.02, Cerro Gordo County, Iowa",4374,313,7.2
19033950200,"Census Tract 9502, Cerro Gordo County, Iowa",6521,371,5.7
19033950300,"Census Tract 9503, Cerro Gordo County, Iowa",4703,249,5.3
19033950402,"Census Tract 9504.02, Cerro Gordo County, Iowa",4160,119,2.9
19033950600,"Census Tract 9506, Cerro Gordo County, Iowa",2303,25,1.1
19033950700,"Census Tract 9507, Cerro Gordo County, Iowa",3919,105,2.7
19033950800,"Census Tract 9508, Cerro Gordo County, Iowa",4826,226,4.7
19033950900,"Census Tract 9509, Cerro Gordo County, Iowa",1861,27,1.5
19033951000,"Census Tract 9510, Cerro Gordo County, Iowa",2807,86,3.1
19033951400,"Census Tract 9514, Cerro Gordo County, Iowa",3791,23,0.6
19033951600,"Census Tract 9516, Cerro Gordo County, Iowa",4442,240,5.4
19035080100,"Census Tract 801, Cherokee County, Iowa",5457,197,3.6
19035080200,"Census Tract 802, Cherokee County, Iowa",2528,23,0.9
19035080300,"Census Tract 803, Cherokee County, Iowa",1766,20,1.1
19035080400,"Census Tract 804, Cherokee County, Iowa",2231,103,4.6
19037070100,"Census Tract 701, Chickasaw County, Iowa",3434,39,1.1
19037070200,"Census Tract 702, Chickasaw County, Iowa",2417,5,0.2
19037070300,"Census Tract 703, Chickasaw County, Iowa",2684,130,4.8
19037070400,"Census Tract 704, Chickasaw County, Iowa",3794,109,2.9
19039960100,"Census Tract 9601, Clarke County, Iowa",4972,974,19.6
19039960200,"Census Tract 9602, Clarke County, Iowa",2163,56,2.6
19039960300,"Census Tract 9603, Clarke County, Iowa",2149,0,0.0
19041080100,"Census Tract 801, Clay County, Iowa",2059,1,0.0
19041080200,"Census Tract 802, Clay County, Iowa",5346,214,4.0
19041080300,"Census Tract 803, Clay County, Iowa",6142,254,4.1
19041080400,"Census Tract 804, Clay County, Iowa",3008,17,0.6
19043070100,"Census Tract 701, Clayton County, Iowa",2978,86,2.9
19043070200,"Census Tract 702, Clayton County, Iowa",3532,92,2.6
19043070300,"Census Tract 703, Clayton County, Iowa",3284,72,2.2
19043070400,"Census Tract 704, Clayton County, Iowa",2447,19,0.8
19043070500,"Census Tract 705, Clayton County, Iowa",2266,40,1.8
19043070600,"Census Tract 706, Clayton County, Iowa",3393,13,0.4
19045000100,"Census Tract 1, Clinton County, Iowa",2926,87,3.0
19045000200,"Census Tract 2, Clinton County, Iowa",1987,189,9.5
19045000300,"Census Tract 3, Clinton County, Iowa",4928,122,2.5
19045000400,"Census Tract 4, Clinton County, Iowa",3792,80,2.1
19045000500,"Census Tract 5, Clinton County, Iowa",4919,51,1.0
19045000600,"Census Tract 6, Clinton County, Iowa",3917,63,1.6
19045000700,"Census Tract 7, Clinton County, Iowa",3992,200,5.0
19045000800,"Census Tract 8, Clinton County, Iowa",5198,279,5.4
19045000900,"Census Tract 9, Clinton County, Iowa",6568,146,2.2
19045001000,"Census Tract 10, Clinton County, Iowa",4069,22,0.5
19045001100,"Census Tract 11, Clinton County, Iowa",2435,38,1.6
19045001200,"Census Tract 12, Clinton County, Iowa",3932,74,1.9
19047070100,"Census Tract 701, Crawford County, Iowa",1930,171,8.9
19047070200,"Census Tract 702, Crawford County, Iowa",2200,143,6.5
19047070300,"Census Tract 703, Crawford County, Iowa",2364,141,6.0
19047070400,"Census Tract 704, Crawford County, Iowa",8696,4000,46.0
19047070500,"Census Tract 705, Crawford County, Iowa",2069,108,5.2
19049050100,"Census Tract 501, Dallas County, Iowa",4778,10,0.2
19049050200,"Census Tract 502, Dallas County, Iowa",3988,58,1.5
19049050300,"Census Tract 503, Dallas County, Iowa",4884,1501,30.7
19049050400,"Census Tract 504, Dallas County, Iowa",3295,1194,36.2
19049050500,"Census Tract 505, Dallas County, Iowa",1992,95,4.8
19049050600,"Census Tract 506, Dallas County, Iowa",3017,9,0.3
19049050700,"Census Tract 507, Dallas County, Iowa",4508,145,3.2
19049050803,"Census Tract 508.03, Dallas County, Iowa",6677,92,1.4
19049050805,"Census Tract 508.05, Dallas County, Iowa",6154,421,6.8
19049050807,"Census Tract 508.07, Dallas County, Iowa",7392,212,2.9
19049050809,"Census Tract 508.09, Dallas County, Iowa",7012,283,4.0
19049050811,"Census Tract 508.11, Dallas County, Iowa",8810,232,2.6
19049050812,"Census Tract 508.12, Dallas County, Iowa",2130,57,2.7
19049050901,"Census Tract 509.01, Dallas County, Iowa",3311,123,3.7
19049050902,"Census Tract 509.02, Dallas County, Iowa",4176,54,1.3
19051080100,"Census Tract 801, Davis County, Iowa",3906,77,2.0
19051080200,"Census Tract 802, Davis County, Iowa",4859,24,0.5
19053960100,"Census Tract 9601, Decatur County, Iowa",2349,17,0.7
