Year,Asian,Black,Hispanic,White
1996,,46.51,25,63.28
2000,,47.22,65.52,68.25
2004,73.33,63.89,50,71.47
2008,34.38,61.76,64.52,70.92
2012,48.57,64.71,42.25,69.81
